Year,BSi MAR (mgSiO2/cm2y),BSi MAR (mgSiO2/cm2y)_1
1847,6.74,3.46
1833,7.41,NA
1819,6.64,NA
1805,6.49,3.37
1792,6.72,NA
1778,7.47,NA
1764,8.44,NA
1750,6.93,NA
1736,6.95,NA
1722,6.4,NA
1708,7.28,NA
1695,7.44,NA
1681,6.12,NA
1667,6.09,NA
1653,6.95,NA
1639,6.31,NA
1625,5.45,NA
1612,7.37,NA
1598,7.43,NA
1584,7.01,NA
1570,7.81,NA
1556,6.57,NA
1542,7.58,NA
1528,8.61,NA
1515,7.82,NA
1501,5.24,NA
1487,6.03,NA
1473,6.36,NA
1459,4.39,NA
1445,4.92,NA
1431,5.56,NA
1418,5.84,NA
1404,5.12,NA
1390,5.09,NA
1376,5.8,NA
1362,5.42,NA
1348,6.07,NA
1334,8.71,NA
1321,8.02,NA
1307,9.44,NA
1293,7.23,NA
1279,7.96,NA
1265,6.4,NA
1251,6.51,NA
1237,5.42,NA
1224,4.99,NA
1210,4.81,NA
1196,4.65,NA
1182,5.36,NA
1168,5.62,NA
1154,6.63,NA
1141,8.04,NA
1127,5.21,NA
1113,4.54,NA
1099,5.06,NA
1085,5.46,NA
1071,7.79,NA
1057,7.69,NA
1044,5.2,5.3
1030,4.52,NA
1016,5.52,NA
1002,4.5,3.65
989,3.99,NA
977,4.67,2.87
964,4.01,NA
951,4.73,NA
938,4.94,NA
926,4,3.97
913,4.85,NA
900,4.94,NA
888,7.04,NA
875,5.91,NA
862,5.21,NA
849,4.25,NA
837,4.88,NA
824,4.92,NA
811,6.07,NA
799,5.39,NA
786,6.33,NA
773,6.65,NA
760,5.23,NA
748,4.92,NA
735,5.48,NA
722,5.61,NA
710,4.4,NA
697,5.67,NA
684,6.14,NA
671,9.63,NA
659,12.56,NA
646,8.47,NA
633,7.5,NA
621,7.11,NA
608,8.34,NA
595,7.48,NA
582,7.44,NA
570,9.61,NA
557,7.62,NA
544,7.7,NA
532,6.38,NA
519,4.66,NA
506,5.38,NA
493,4.66,NA
481,6.84,NA
468,5.43,NA
455,7.32,NA
442,10.14,NA
430,7.16,NA
417,5.14,NA
404,8.02,NA
392,8.13,NA
379,8.37,NA
366,6.91,NA
353,4.74,3.83
341,7.84,NA
328,9.89,NA
315,4.35,NA
303,4.07,NA
290,3.52,NA
277,4.68,NA
264,5.31,NA
252,6.03,NA
239,7.33,NA
226,5.04,NA
214,7.06,NA
201,7.15,NA
188,9.1,NA
175,6.04,NA
163,4.2,NA
150,5.76,3.39
137,5.52,NA
125,6.24,NA
112,5.25,NA
99,6.64,NA
86,5.6,NA
74,7.36,NA
61,6.72,NA
48,6.56,NA
36,7.28,NA
23,5.84,NA
10,8.31,NA
-3,6.99,NA
-15,9.26,NA
-28,7.83,NA
-44,7.7,NA
-60,7.69,NA
-76,7.08,4.34
-92,6.78,NA
-108,6.93,NA
-124,6.93,NA
-140,7.7,NA
-156,5.56,NA
-172,6.48,NA
-188,8.25,3.83
-204,8.93,NA
-220,9.39,NA
-236,7.61,NA
-252,6.92,NA
-268,6.52,NA
-284,5.99,NA
-300,7.89,NA
-316,6.82,NA
-332,6.81,NA
-347,6.19,NA
-363,7.99,NA
-379,8.53,NA
-395,7.25,NA
-411,8.59,NA
-427,7.69,NA
-443,7.9,NA
-459,6.77,4.77
-475,6.42,NA
-491,7.75,NA
-507,8.94,NA
-523,7.51,NA
-539,6.57,NA
-555,6.92,NA
-571,6.45,NA
-587,7.04,NA
-603,7.4,NA
-619,7.71,NA
-635,7.22,NA
-651,7.11,NA
-667,7.48,NA
-683,9.13,NA
-699,8.57,NA
-715,6.01,NA
-731,6.31,NA
-747,7.1,NA
-763,7.68,NA
-779,7.54,NA
-795,7.93,NA
-811,8.65,NA
-827,7.73,NA
-843,7.41,6.34
-859,7.53,NA
-875,5.41,NA
-891,6.18,NA
-907,8.61,NA
-923,8.89,NA
-939,7.05,NA
-954,9.37,NA
-970,10.77,NA
-986,9.97,NA
-1002,8.68,NA
-1018,8.79,NA
-1034,6.85,NA
-1050,8.87,NA
-1066,9.49,NA
-1082,7.1,NA
-1098,7.5,NA
-1114,8.39,5.82
-1130,9.51,NA
-1146,7.35,NA
-1162,7.86,NA
-1178,8.13,NA
-1194,8.03,NA
-1210,6.52,NA
-1226,8.58,4.5
-1242,10.55,NA
-1258,10.01,NA
-1274,6.62,NA
-1290,8.86,NA
-1306,7.76,NA
-1322,7.64,NA
-1338,9.94,NA
-1354,8.61,NA
-1370,7.35,NA
-1386,11.2,NA
-1402,8.93,NA
-1418,5.69,NA
-1434,11.71,NA
-1450,8.51,NA
-1466,9.64,NA
-1482,6.82,NA
-1498,8.61,NA
-1514,9.65,NA
-1530,8.69,NA
-1546,9.79,NA
-1561,6.26,NA
-1577,10.04,NA
-1593,9.58,NA
-1609,10.74,NA
-1625,8.42,NA
-1641,10.58,NA
-1657,9.9,NA
-1673,7.41,NA
-1689,6.59,NA
-1705,8.96,NA
-1721,9,NA
-1737,6.7,NA
-1753,6.45,NA
-1769,6.72,NA
-1785,6.67,NA
-1801,10.68,NA
-1817,9.42,NA
-1833,12.01,NA
-1849,8.85,NA
-1865,6.52,NA
-1886,6.48,NA
-1908,5.68,NA
-1929,9.22,NA
-1950,9.29,NA
-1972,10.42,NA
-1993,9.11,NA
-2014,7.13,NA
-2036,7.97,NA
-2057,8.03,NA
-2078,10.48,NA
-2100,8.84,NA
-2121,7.54,NA
-2142,9.16,NA
-2163,8.61,NA
-2185,9.47,NA
-2206,7.16,NA
-2227,7.8,NA
-2249,11.62,NA
-2270,11.18,NA
-2291,9.95,NA
-2313,14.7,NA
-2334,13.6,NA
-2355,14.93,NA
-2377,7.82,NA
-2398,5.17,NA
-2418,4.28,NA
-2438,7.26,NA
-2458,7.55,NA
-2477,6.05,NA
-2497,7.41,NA
-2517,6.44,NA
-2537,7.32,NA
-2557,7.26,NA
-2577,6.87,NA
-2597,7.05,NA
-2617,8.07,NA
-2636,8.27,NA
-2656,7.78,NA
-2676,6.68,NA
-2696,6.46,NA
-2716,6.13,NA
-2736,6.73,NA
-2756,7.78,4.21
-2776,6.6,NA
-2795,5.34,NA
-2815,5.32,NA
-2835,5.34,NA
-2855,5.8,NA
-2875,5.38,NA
-2895,5.89,NA
-2915,5.8,NA
-2935,5.63,NA
-2954,7.36,NA
-2974,6.88,NA
-2994,6.35,NA
-3014,6.42,NA
-3034,8.4,NA
-3054,6.34,NA
-3074,6.11,NA
-3093,3.72,NA
-3113,3.6,6
-3133,5.84,NA
-3153,5.07,NA
-3173,4.58,NA
-3193,4.25,NA
-3213,3.51,NA
-3233,5.3,NA
-3252,5.51,NA
-3272,6.43,NA
-3292,6.58,NA
-3312,7.4,NA
-3332,6.61,NA
-3352,5.89,NA
-3372,8.78,NA
-3392,5.97,NA
-3411,7.99,NA
-3431,6.29,NA
-3451,5.66,NA
-3471,4.11,3.53
-3493,5.31,NA
-3515,4.08,NA
-3537,5.87,NA
-3559,4.83,NA
-3581,4.97,NA
-3603,6.45,NA
-3625,4.67,NA
-3647,5.12,NA
-3669,3.77,NA
-3691,4.74,NA
-3713,4.34,NA
-3735,4.75,NA
-3757,3.44,NA
-3779,4.02,NA
-3801,3.88,NA
-3823,4.55,NA
-3845,6.42,NA
-3867,6.05,NA
-3889,4.06,NA
-3911,3.79,NA
-3933,5.71,NA
-3955,4.37,NA
-3977,5.04,NA
-3999,7.06,NA
-4021,7.85,NA
-4043,4.71,NA
-4065,6.56,NA
-4088,6.93,NA
-4110,7.98,NA
-4132,8.24,NA
-4154,5.27,NA
-4176,6.69,NA
-4198,5.82,NA
-4220,6.23,NA
-4242,5.41,NA
-4264,7.15,NA
-4286,6.3,NA
-4308,7.18,NA
-4330,6.39,NA
-4352,6.31,NA
-4374,5.33,NA
-4396,5.28,NA
-4418,7.03,NA
-4440,6.99,NA
-4462,7.97,NA
-4484,5.23,NA
-4506,6.75,NA
-4528,7.42,NA
-4550,6.82,NA
-4572,5.97,NA
-4594,5.68,NA
-4616,3.96,NA
-4638,5.7,NA
-4660,6.31,NA
-4682,6.7,3.9
-4704,4.16,NA
-4726,6.44,NA
-4748,5.78,NA
-4770,5.23,NA
-4792,5.3,NA
-4814,7.53,NA
-4836,5.68,NA
-4858,5.76,NA
-4880,5.69,NA
-4902,7.23,NA
-4924,4.3,NA
-4946,5.84,NA
-4968,7.09,NA
-4990,5.64,NA
-5012,6.79,NA
-5034,9.22,NA
-5056,4.11,NA
-5078,3.92,NA
-5100,5.81,NA
-5122,7.21,NA
-5144,6.62,NA
-5166,4.67,NA
-5188,4.87,NA
-5210,5,NA
-5232,7.81,NA
-5254,6.99,NA
-5276,6.54,NA
-5299,5.33,NA
-5321,7.24,NA
-5343,5.86,NA
-5365,4.47,NA
-5387,6.23,NA
-5409,5.28,NA
-5431,5.09,NA
-5453,4.52,NA
-5475,6.71,NA
-5497,5.82,NA
-5519,6.59,NA
-5541,6.29,NA
-5563,6.79,NA
-5585,4.35,NA
-5607,3.85,NA
-5629,3.89,NA
-5651,5.52,NA
-5673,6.31,NA
-5695,7.44,NA
-5717,9.55,NA
-5739,7.08,NA
-5761,6.92,NA
-5783,6.74,NA
-5805,7.07,NA
-5827,5.4,NA
-5849,4.66,NA
-5871,5.48,4.01
-5893,5.03,NA
-5915,5.93,NA
-5937,6.84,NA
-5959,5.92,NA
-5981,5.66,NA
-6003,4.76,NA
-6025,4.91,NA
-6047,4.76,NA
-6069,6.6,NA
-6091,6.6,NA
-6113,6.49,NA
-6135,6.4,NA
-6157,6.22,NA
-6179,6.11,NA
-6201,7.41,NA
-6223,7.59,NA
-6245,6.56,NA
-6267,4.52,NA
-6289,5.95,NA
-6311,5.37,NA
-6333,4.88,NA
-6355,4.46,NA
-6377,4.9,NA
-6399,4.71,NA
-6421,5.7,NA
-6443,4.11,NA
-6465,6.46,NA
-6488,5.27,NA
-6510,5.72,NA
-6532,4.61,NA
-6554,5.12,NA
-6576,4.81,NA
-6598,5.35,NA
-6620,6.8,NA
-6642,5.57,NA
-6664,5.59,NA
-6686,6.71,NA
-6708,6.61,NA
-6730,5.98,NA
-6752,7.68,NA
-6774,7.26,NA
-6796,9.54,NA
-6818,7.8,NA
-6840,6.74,NA
-6862,6.62,NA
-6884,8.08,NA
-6906,6.19,NA
-6928,6.91,NA
-6950,7.31,NA
-6972,5.98,NA
-6994,6.6,NA
-7016,6.23,NA
-7038,6.41,NA
-7060,7.57,NA
-7082,4.44,7.33
-7106,5.6,NA
-7131,4.91,NA
-7155,4.13,NA
-7179,3.69,NA
-7204,4.45,NA
-7228,4.46,NA
-7252,4.08,NA
-7276,4.43,NA
-7301,4.49,NA
-7325,4.26,NA
-7349,3.59,NA
-7374,3.12,NA
-7398,3.83,NA
-7422,4.56,NA
-7447,5.02,NA
-7471,4.47,NA
-7495,6.18,NA
-7520,3.56,NA
-7544,5.15,NA
-7568,4.57,NA
-7592,7.21,NA
-7617,7.08,NA
-7641,6.79,NA
-7665,8.85,NA
-7690,5.06,NA
-7714,5.31,NA
-7738,4.75,NA
-7763,4.28,NA
-7787,4.39,NA
-7811,5.75,NA
-7835,4.17,NA
-7860,3.32,NA
-7884,4.39,NA
-7908,4.43,NA
-7933,6.58,NA
-7957,6.43,NA
-7981,6.92,NA
-8006,6.42,NA
-8030,7.21,NA
-8054,5.34,NA
-8079,5.57,NA
-8103,6.88,NA
-8127,6.86,NA
-8151,5.03,NA
-8176,9.49,NA
-8200,6.28,NA
-8224,8.27,NA
-8249,9.09,NA
-8273,12.4,9.86
-8298,7.71,7.09
-8322,7.81,7.52
-8347,5.03,8.92
-8372,2.68,5.13
-8397,6.1,2.79
-8421,6.17,3.32
-8446,2.64,2.13
-8471,2.24,2.41
-8495,2.39,2.06
-8520,3.04,1.57
-8545,2.89,1.67
-8570,5.23,1.96
-8594,2.55,1.85
-8619,1.92,1.5
-8644,2.34,NA
-8668,2.14,NA
-8693,2.13,NA
-8718,2.07,NA
-8743,1.88,NA
-8767,2.13,NA
-8792,2.97,NA
-8817,2.33,NA
-8841,2.51,NA
-8866,1.91,NA
-8891,2.07,NA
-8915,3,NA
-8940,2.65,NA
-8965,4.56,NA
-8990,3.1,NA
-9014,4.76,NA
-9039,5.09,NA
-9064,3.19,NA
-9088,3.66,NA
-9113,3.68,NA
-9138,2.95,NA
-9163,2.38,NA
-9187,2.51,NA
-9212,4.03,NA
-9237,3.05,NA
-9261,3.83,NA
-9286,4.03,NA
-9311,3.03,NA
-9336,4.44,NA
-9360,6.11,NA
-9385,4.13,NA
-9410,5.81,NA
-9434,4.04,NA
-9459,4.63,NA
-9484,3.73,NA
-9508,2.59,NA
-9533,2.88,NA
-9558,3.13,NA
-9583,2.32,NA
-9607,2.6,NA
-9632,2.3,1.71
-9657,2.47,NA
-9683,2.93,NA
-9708,2.92,NA
-9734,3.31,NA
-9759,3.58,NA
-9785,2.8,NA
-9810,2.63,NA
-9836,4.5,NA
-9861,6.02,NA
-9887,6.2,NA
-9912,6.27,NA
-9938,5.45,NA
-9963,5.91,NA
-9989,5.84,NA
-10014,6.79,NA
-10039,7.5,NA
-10065,7.01,NA
-10090,6.06,NA
-10116,5.32,NA
-10141,4.28,NA
-10167,5.75,NA
-10192,7.4,NA
-10218,9.26,NA
-10243,6.98,NA
-10269,6.63,NA
-10294,6.03,NA
-10320,6.51,NA
-10345,6.19,NA
-10371,8.93,NA
-10396,6.93,NA
-10421,6.51,NA
-10447,7.05,NA
-10472,8.24,NA
-10498,7.2,NA
-10523,6.39,NA
-10549,5.75,NA
-10574,6.92,NA
-10600,6.87,NA
-10625,8.8,NA
-10651,7.55,NA
-10676,7.15,NA
-10702,7.7,NA
-10727,10.46,NA
-10752,10.64,NA
-10778,9.16,NA
-10803,6.92,NA
-10829,5.26,NA
-10854,6.82,NA
-10880,9.4,NA
-10905,6.56,NA
-10931,6.2,NA
-10956,5.3,NA
-10982,3.58,NA
-11007,4.29,NA
-11033,5.55,NA
-11058,5.37,NA
-11084,4.99,NA
-11109,3.97,3.14
-11152,2.42,NA
-11194,2.29,NA
-11237,2.47,NA
-11280,2.66,NA
-11322,2.39,NA
-11365,2.9,NA
-11407,2.56,NA
-11450,3.04,NA
-11493,2.71,NA
-11535,2.76,NA
-11578,2.25,NA
-11621,2.27,NA
-11663,2.19,NA
-11706,2.49,NA
-11748,2.77,NA
-11791,2.54,NA
-11834,2.46,NA
-11876,3,NA
-11919,3.29,NA
-11962,2.87,NA
-12004,3.83,NA
-12047,3.33,NA
-12090,3.88,NA
-12132,3.43,NA
-12175,3.83,NA
-12217,3.84,NA
-12260,3.85,NA
-12303,4.09,NA
-12345,3.54,NA
-12388,3.63,NA
-12431,3.08,NA
-12473,3.78,NA
-12516,3.82,NA
-12559,3.44,NA
-12601,4.16,NA
-12644,3.72,NA
-12686,3.7,NA
-12729,3.81,NA
-12772,3.65,NA
-12814,5.38,NA
-12857,5.25,NA
-12900,5.35,NA
-12942,4.97,NA
-12985,4.49,NA
-13027,5.08,NA
-13070,5.1,NA
-13113,6.07,NA
-13155,5.62,NA
-13198,1.31,1.31
-13250,3.63,NA
-13302,3.55,NA
-13354,3.99,NA
-13407,3.69,NA
-13459,4.39,NA
-13511,4.48,NA
-13563,4.22,NA
-13615,4.1,NA
-13667,4.37,NA
-13719,4.2,NA
-13771,3.84,NA
-13824,3.49,NA
-13876,2.72,NA
-13928,3.48,NA
-13980,3.56,NA
-14032,3.99,NA
-14084,4.64,NA
-14136,1.98,NA
-14188,3.29,NA
-14241,3.79,3.38
-14293,4.06,NA
-14345,3.43,NA
-14397,2.81,NA
-14449,2.99,NA
-14501,3.05,NA
-14553,2.72,NA
-14605,2.62,NA
-14658,2.74,NA
-14710,3.26,NA
-14762,2.97,NA
-14814,2.98,NA
-14866,2.97,NA
-14918,2.47,NA
-14970,2.33,NA
-15022,2.58,NA
-15075,2.38,NA
-15127,2.59,NA
-15179,1.86,NA
-15231,1.67,NA
-15283,1.5,1.25
-15326,1.86,NA
-15370,2.25,NA
-15413,2.04,NA
-15456,2.29,NA
-15500,2.29,NA
-15543,2.26,NA
-15586,2.55,NA
-15630,3.06,NA
-15673,2.79,NA
-15716,2.46,NA
-15760,2.54,NA
-15803,3.02,NA
-15846,2.66,NA
-15890,2.81,NA
-15933,3.03,NA
-15976,2.9,NA
-16020,2.6,NA
-16063,2.33,NA
-16106,2.62,NA
-16150,2.51,NA
-16193,2.96,NA
-16236,2.47,NA
-16280,2.82,NA
-16323,2.61,NA
-16366,2.83,NA
-16410,2.85,NA
-16453,2.54,NA
-16496,2.77,NA
-16540,3.43,NA
-16583,3.23,NA
-16626,2.76,NA
-16670,2.82,NA
-16713,2.62,NA
-16756,2.56,NA
-16800,2.38,NA
-16843,2.27,NA
-16886,2.31,NA
-16930,2.66,NA
-16973,2.3,NA
-17016,2.58,NA
-17060,2.42,NA
-17103,1.8,3
-17146,2.28,NA
-17188,2.53,NA
-17231,2.56,NA
-17274,2.49,NA
-17316,2.68,NA
-17359,3.04,NA
-17402,3.18,NA
-17444,3.35,NA
-17487,3.28,NA
-17530,3.08,NA
-17572,3.33,NA
-17615,3.18,NA
-17657,3.67,NA
-17700,3.22,NA
-17743,2.74,NA
-17785,2.79,NA
-17828,3.08,NA
-17871,2.74,NA
-17913,3.32,NA
-17956,2.91,NA
-17999,3,NA
-18041,2.98,NA
-18084,2.85,NA
-18127,2.76,NA
-18169,3.55,NA
-18212,3.01,NA
-18255,2.84,NA
-18297,2.74,NA
-18340,3.03,NA
-18383,2.67,NA
-18425,3.24,NA
-18468,3.11,NA
-18511,2.89,NA
-18553,2.77,NA
-18596,3.17,NA
-18639,3.28,NA
-18681,3.35,NA
-18724,3.04,NA
-18766,3,NA
-18809,3.22,NA
-18852,3.24,NA
-18894,3.35,NA
-18937,3.63,NA
-18980,4.43,NA
-19022,3.77,NA
-19065,3.57,NA
-19108,4.25,NA
-19150,4.43,NA
-19193,4.62,4.66
-19236,3.91,4.65
-19278,4.1,NA
-19321,3.52,NA
-19364,3.49,NA
-19406,3.88,NA
-19449,3.28,NA
-19492,3.66,NA
-19534,3.78,NA
-19577,4.35,NA
-19619,4.91,NA
-19662,4.02,NA
-19705,3.89,NA
-19747,4.65,NA
-19790,4.58,NA
-19832,4.43,NA
-19875,4.25,NA
-19918,4.25,NA
-19960,4.36,NA
-20003,4.41,NA
-20046,4.56,NA
-20088,4.42,2.64
-20131,3.98,NA
-20174,3.8,NA
-20216,3.38,NA
-20259,3.73,NA
-20301,3.24,NA
-20344,3.3,NA
-20387,3.03,NA
-20429,3.26,NA
-20472,3.17,NA
-20515,2.78,NA
-20557,2.95,NA
-20600,2.61,NA
-20643,2.72,NA
-20685,2.71,NA
-20728,2.37,NA
-20771,2.25,NA
-20813,2.33,NA
-20856,2.32,NA
-20898,2.14,NA
-20941,2.79,NA
-20984,2.37,NA
-21026,2.5,NA
-21069,2.31,NA
-21112,2.26,NA
-21154,2.2,NA
-21197,2.09,NA
-21240,2.2,NA
-21282,2.22,NA
-21325,1.9,NA
-21368,1.89,NA
-21410,2.13,NA
-21453,2.1,NA
-21495,2.22,NA
-21538,2.16,NA
-21581,2.28,NA
-21623,2.27,NA
-21666,2.12,NA
-21709,2.27,NA
-21751,2.18,NA
-21794,2.34,NA
-21837,2.63,NA
-21879,2.4,NA
-21922,2.2,NA
-21965,2.26,NA
-22007,2.26,NA
-22050,2.19,NA
-22092,2.01,NA
-22135,1.93,NA
-22178,1.97,NA
-22220,2.18,NA
-22263,2.27,NA
-22306,2.54,NA
